PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST; 285;Voorst;Gelderland;Vso;3/4;Protestants-Christelijk;20137;0;0;0;0;0;0;0;0;0;4;9;18;29;26;20;10;2;0;0;0;0;0;0;118
20161001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN; 200;Apeldoorn;Gelderland;Vso;3/4;Protestants-Christelijk;20137;0;0;0;0;0;0;0;0;0;2;1;7;9;9;8;2;0;0;0;0;0;0;0;38
20161001;00AP;00;De Schanskorf;2715BT;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;7;11;9;14;7;10;10;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;80
20161001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;nvt;Rooms-Katholiek;41797;0;11;19;15;22;17;13;21;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;135
20161001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;nvt;Gereformeerd vrijgemaakt;41646;0;8;9;9;10;5;13;9;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;72
20161001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;3/4;Protestants-Christelijk;62077;0;0;0;1;2;6;7;13;9;10;1;0;0;0;0;0;0;0;0;0;0;0;0;49
20161001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;3/4;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;0;6;2;3;0;0;0;0;0;0;0;0;0;0;0;11
20161001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;3/4;Protestants-Christelijk;62077;0;0;0;0;1;5;2;3;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;24
20161001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;3/4;Protestants-Christelijk;62077;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;5
20161001;00AZ;00;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;nvt;Openbaar;41638;0;10;12;12;16;9;18;14;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20161001;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;nvt;Openbaar;41530;0;12;7;9;10;14;13;4;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;92
20161001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;nvt;Openbaar;41613;0;7;9;6;11;8;11;19;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20161001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;nvt;Gereformeerd vrijgemaakt;41168;0;20;19;15;12;19;15;15;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;135
20161001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;nvt;Algemeen bijzonder;41516;0;19;9;20;13;15;7;17;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;110
20161001;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE; 193;Zwolle;Overijssel;Sbo;nvt;Gereformeerd vrijgemaakt;41632;0;2;4;2;6;10;7;14;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;64
20161001;00CD;00;Basisschool Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;nvt;Algemeen bijzonder;41228;0;20;20;12;21;15;19;13;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;136
20161001;00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;nvt;Openbaar;41516;0;43;53;70;51;48;44;38;37;16;1;0;0;0;0;0;0;0;0;0;0;0;0;401
20161001;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;nvt;Gereformeerd vrijgemaakt;41025;0;9;8;6;13;12;8;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20161001;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;nvt;Antroposofisch;41246;0;7;8;10;7;8;6;3;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;58
20161001;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;nvt;Algemeen bijzonder;20210;0;5;7;4;8;4;10;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
20161001;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;  86;Opsterland;Friesland;Bo;nvt;Protestants-Christelijk;30051;0;9;3;9;10;10;9;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20161001;00DD;00;Basissch Het Startnest;1422LE;UITHOORN; 451;Uithoorn;Noord-Holland;Bo;nvt;Rooms-Katholiek;30090;0;31;29;35;33;39;36;34;27;9;0;0;0;0;0;0;0;0;0;0;0;0;0;273
20161001;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;nvt;Openbaar;13674;0;17;10;13;22;17;16;25;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;136
20161001;00DN;00;De Bundeling;6241BB;BUNDE; 938;Meerssen;Limburg;Bo;nvt;Openbaar;42669;0;17;16;21;20;20;19;25;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;159
20161001;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND; 599;Rotterdam;Zuid-Holland;Bo;nvt;Openbaar;41775;0;15;19;19;14;15;10;21;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;128
20161001;00DW;00;De Trompetter;6986AT;ANGERLO; 299;Zevenaar;Gelderland;Bo;nvt;Rooms-Katholiek;61284;0;8;15;20;23;11;19;18;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;131
20161001;00DX;00;Vrije School Assen;9404KK;ASSEN; 106;Assen;Drenthe;Bo;nvt;Antroposofisch;77456;0;20;18;29;19;19;22;22;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166
20161001;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE; 230;Elburg;Gelderland;Bo;nvt;Gereformeerd vrijgemaakt;41632;0;16;14;19;15;17;11;12;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;118
20161001;00DZ;00;Agnieten-School;8081NB;ELBURG; 230;Elburg;Gelderland;Bo;nvt;Rooms-Katholiek;40950;0;20;4;18;15;13;22;28;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;130
20161001;00EB;00;Bs Het Telraam;5441AK;OEFFELT; 756;Boxmeer;Noord-Brabant;Bo;nvt;Rooms-Katholiek;48348;0;19;16;24;19;24;20;28;33;4;0;0;0;0;0;0;0;0;0;0;0;0;0;187
