PEILDATUM;BRIN_NUMMER;BEVOEGD_GEZAG_NUMMER;TOTAAL_AANTAL_LEERLINGEN;AANTAL_LEERLINGEN_4_TOT_EN_MET_7_JAAR;AANTAL_LEERLINGEN_8_JAAR_EN_OUDER;AANTAL_GROEPEN;SCHOOLGEWICHT;GROEPSAFHANKELIJKE_MI;LEERLINGAFHANKELIJKE_MI;AANVULLENDE_MI;TOTAAL_MI
20141001;00AP;41646;88;42;46;4;0;40.010,00;41.578,98;289,90;81.878,88
20141001;00AR;41797;141;70;71;6;0;53.177,00;58.802,78;130,86;112.110,64
20141001;00AV;41646;59;34;25;3;2;30.939,00;32.184,18;190,50;63.313,68
20141001;00AZ;41638;133;55;78;5;0;47.910,00;55.984,34;230,26;104.124,60
20141001;00BA;41530;106;47;59;5;0;47.910,00;47.529,02;150,74;95.589,76
20141001;00BB;41613;98;37;61;4;0;40.010,00;44.710,58;0,00;84.720,58
20141001;00BS;41168;128;63;65;5;0;47.910,00;54.418,54;130,86;102.459,40
20141001;00BW;41516;98;53;45;5;0;47.910,00;44.710,58;309,78;92.930,36
20141001;00CD;80628;160;82;78;7;0;59.322,00;64.752,82;289,90;124.364,72
20141001;00CG;41516;389;207;182;17;1;123.113,00;138.658,58;866,42;262.638,00
20141001;00CS;41025;78;37;41;4;0;40.010,00;38.447,38;210,38;78.667,76
20141001;00CU;41246;71;31;40;4;0;40.010,00;36.255,26;0,00;76.265,26
20141001;00CV;20210;41;21;20;3;0;30.939,00;26.547,30;130,86;57.617,16
20141001;00DA;30051;73;38;35;4;0;40.010,00;36.881,58;0,00;76.891,58
20141001;00DD;30090;296;148;148;13;6;96.192,00;108.595,22;1.264,02;206.051,24
20141001;00DM;13674;157;67;90;6;0;53.177,00;63.813,34;0,00;116.990,34
20141001;00DN;42669;153;75;78;6;0;53.177,00;62.560,70;130,86;115.868,56
20141001;00DO;41775;157;70;87;7;3;59.322,00;63.813,34;369,42;123.504,76
20141001;00DW;61284;170;80;90;7;0;59.322,00;68.197,58;170,62;127.690,20
20141001;00DX;77456;173;87;86;7;0;59.322,00;69.137,06;170,62;128.629,68
20141001;00DY;41632;121;65;56;5;0;47.910,00;52.226,42;130,86;100.267,28
20141001;00DZ;40950;51;22;29;3;0;30.939,00;29.678,90;130,86;60.748,76
20141001;00EB;48348;210;87;123;9;0;71.612,00;81.037,14;0,00;152.649,14
20141001;00EI;30133;128;66;62;6;0;53.177,00;54.418,54;0,00;107.595,54
20141001;00FE;41646;67;24;43;3;0;30.939,00;35.002,62;170,62;66.112,24
20141001;00FG;41624;100;46;54;5;0;47.910,00;45.650,06;329,66;93.889,72
20141001;00FI;45000;212;111;101;9;0;71.612,00;81.663,46;190,50;153.465,96
20141001;00FQ;30124;72;33;39;4;0;40.010,00;36.568,42;0,00;76.578,42
20141001;00GQ;20183;149;68;81;6;0;53.177,00;61.308,06;130,86;114.615,92
20141001;00GR;41632;77;46;31;4;0;40.010,00;38.134,22;0,00;78.144,22
20141001;00GU;41856;29;11;18;2;0;23.917,00;22.476,22;0,00;46.393,22
20141001;00GV;50949;182;81;101;8;0;65.467,00;71.955,50;0,00;137.422,50
20141001;00GX;28147;125;44;81;5;0;47.910,00;53.479,06;0,00;101.389,06
20141001;00GZ;41335;108;61;47;5;0;47.910,00;48.155,34;150,74;96.216,08
20141001;00HA;30128;250;118;132;10;0;77.757,00;93.876,70;0,00;171.633,70
20141001;00HH;41670;88;41;47;4;2;40.010,00;41.578,98;190,50;81.779,48
20141001;00HZ;20252;207;90;117;9;0;71.612,00;80.097,66;230,26;151.939,92
20141001;00IF;50949;104;36;68;5;0;47.910,00;46.902,70;0,00;94.812,70
20141001;00IJ;85600;265;113;152;11;0;83.902,00;98.574,10;190,50;182.666,60
20141001;00IM;30145;103;63;40;5;0;47.910,00;46.589,54;0,00;94.499,54
20141001;01VE;40945;91;39;52;4;0;40.010,00;42.518,46;230,26;82.758,72
20141001;01VG;40865;295;140;155;13;0;111.622,00;108.282,06;0,00;219.904,06
20141001;01VI;30010;302;146;156;13;8;96.192,00;110.787,34;1.264,02;208.243,36
20141001;01VQ;40257;410;191;219;17;0;123.113,00;145.548,10;210,38;268.871,48
20141001;01VR;41226;224;117;107;10;0;77.757,00;85.421,38;389,30;163.567,68
20141001;01VY;41638;245;106;139;10;1;77.757,00;92.310,90;289,90;170.357,80
20141001;01WQ;42607;98;61;37;5;0;47.910,00;44.710,58;150,74;92.771,32
20141001;01WR;40945;50;23;27;3;0;30.939,00;29.365,74;130,86;60.435,60
20141001;01WU;30027;435;206;229;18;0;129.258,00;153.690,26;0,00;282.948,26
20141001;01XH;41638;123;66;57;6;10;53.177,00;52.852,74;309,78;106.339,52
