BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;1.1 - IMMATERIËLE VASTE ACTIVA;1.2 - MATERIËLE VASTE ACTIVA;1.3 - FINANCIËLE VASTE ACTIVA;1.4 - VOORRADEN;1.5 - VORDERINGEN;1.6 - EFFECTEN;1.7 - LIQUIDE MIDDELEN;2.1 - EIGEN VERMOGEN;2.2 - VOORZIENINGEN;2.3 - LANGLOPENDE SCHULDEN;2.4 - KORTLOPENDE SCHULDEN;TA - TOTAAL ACTIVA;TP - TOTAAL PASSIVA;TVA - TOTAAL VASTE ACTIVA;TVLA - TOTAAL VLOTTENDE ACTIVA
10249;PO6;Gem Emmen Sec L & Z Ondw;2011;;3.403.793;7.981.095;;2.012.765;;234.765;7.524.765;347.760;;5.759.893;13.632.418;13.632.418;11.384.888;2.247.530
10249;PO6;Gem Emmen Sec L & Z Ondw;2012;;3.231.978;8.826.263;;1.667.685;;191.535;8.367.170;328.632;;5.221.659;13.917.461;13.917.461;12.058.241;1.859.220
10249;PO6;Gem Emmen Sec L & Z Ondw;2013;;3.669.747;9.991.654;;3.130.241;;98.116;9.486.400;348.439;;7.054.919;16.889.758;16.889.758;13.661.401;3.228.357
10249;PO6;Gem Emmen Sec L & Z Ondw;2014;;3.168.889;8.816.963;;2.213.183;;189.117;7.940.697;386.782;3.168.888;2.891.785;14.388.152;14.388.152;11.985.852;2.402.300
10249;PO6;Gem Emmen Sec L & Z Ondw;2015;;3.377.901;8.262.130;;2.095.945;;168.476;7.347.857;370.237;3.377.901;2.808.457;13.904.452;13.904.452;11.640.031;2.264.421
10426;PO5;Gem Hoogez Sap Afd POI;2011;;1.346.064;;;1.676.930;;60.623;1.488.838;105.987;;1.488.792;3.083.617;3.083.617;1.346.064;1.737.553
10426;PO5;Gem Hoogez Sap Afd POI;2012;;1.355.169;;;1.093.110;;60.379;1.268.292;100.696;;1.139.670;2.508.658;2.508.658;1.355.169;1.153.489
10426;PO5;Gem Hoogez Sap Afd POI;2013;;1.309.209;;;1.333.274;;64.427;1.427.057;96.085;;1.183.768;2.706.910;2.706.910;1.309.209;1.397.701
10426;PO5;Gem Hoogez Sap Afd POI;2014;;1.164.570;;;1.278.983;;49.685;1.388.222;86.504;;1.018.512;2.493.238;2.493.238;1.164.570;1.328.668
10426;PO5;Gem Hoogez Sap Afd POI;2015;;1.052.990;;;2.061.056;;35.091;1.628.126;1.025.466;;495.545;3.149.137;3.149.137;1.052.990;2.096.147
10925;PO4;Gem Vlagtwedde;2011;;384.541;372.325;;328.891;;;390.594;28.697;;666.466;1.085.757;1.085.757;756.866;328.891
10925;PO4;Gem Vlagtwedde;2012;;397.555;713.595;;362.175;;;721.143;27.885;;724.297;1.473.325;1.473.325;1.111.150;362.175
10925;PO4;Gem Vlagtwedde;2013;;339.992;617.571;;338.197;;;615.974;30.717;;649.069;1.295.760;1.295.760;957.563;338.197
10925;PO4;Gem Vlagtwedde;2014;;286.362;728.099;;1.022.167;;;728.099;30.502;;1.278.027;2.036.628;2.036.628;1.014.461;1.022.167
10925;PO4;Gem Vlagtwedde;2015;;315.407;822.965;;1.306.388;;42.953;865.917;33.688;;1.588.108;2.487.713;2.487.713;1.138.372;1.349.341
11711;PO5;Gem Noordenveld;2011;;2.179.896;3.710.031;;666.615;;118.210;4.636.704;154.647;;1.883.401;6.674.752;6.674.752;5.889.927;784.825
11711;PO5;Gem Noordenveld;2012;;2.261.963;3.821.332;;642.860;;111.971;4.733.442;149.864;;1.954.820;6.838.126;6.838.126;6.083.295;754.831
11711;PO5;Gem Noordenveld;2013;;2.130.999;3.886.294;;605.570;;95.916;5.100.567;174.948;;1.443.265;6.718.779;6.718.780;6.017.293;701.486
11711;PO5;Gem Noordenveld;2014;;2.016.709;3.952.365;;766.900;;85.242;4.624.017;168.530;;2.028.669;6.821.216;6.821.216;5.969.074;852.142
11711;PO5;Gem Noordenveld;2015;;1.864.215;4.019.556;;669.792;;91.338;4.546.338;170.775;;1.927.787;6.644.901;6.644.900;5.883.771;761.130
11764;PO1;Gemeente Eijsden;2011;;2.774;;;21.440;;183.137;101.698;46.824;;58.829;207.351;207.351;2.774;204.577
11764;PO1;Gemeente Eijsden;2012;;1.898;;;21.508;;173.163;106.451;47.384;;42.734;196.569;196.569;1.898;194.671
11764;PO1;Gemeente Eijsden;2013;;9.945;;;22.154;;165.049;111.788;42.501;;42.859;197.148;197.148;9.945;187.203
11764;PO1;Gemeente Eijsden;2014;;11.371;;;26.453;;169.605;122.467;44.462;;40.500;207.429;207.429;11.371;196.058
11764;PO1;Gemeente Eijsden;2015;;10.018;;;25.592;;207.731;149.624;48.361;;45.356;243.341;243.341;10.018;233.323
13308;PO1;Bestcom Gieterveen;2011;;144.248;;;28.726;;190.741;243.594;11.178;;108.943;363.715;363.715;144.248;219.467
13308;PO1;Bestcom Gieterveen;2012;;153.075;;;32.452;;182.851;261.456;13.678;;93.244;368.378;368.378;153.075;215.303
13308;PO1;Bestcom Gieterveen;2013;;148.563;;;33.218;;221.492;290.938;14.077;;98.258;403.273;403.273;148.563;254.710
