BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;3.1 - RIJKSBIJDRAGEN;3.2 - OVERIGE OVERHEIDSBIJDRAGEN EN -SUBSIDIES;3.3 - COLLEGE-, CURSUS-, LES- EN EXAMENGELDEN;3.4 - BATEN IN OPDRACHT VAN DERDEN;3.5 - OVERIGE BATEN;4.1 - PERSONEELSLASTEN;4.2 - AFSCHRIJVINGEN;4.3 - HUISVESTINGSLASTEN;4.4 - OVERIGE LASTEN;5 - FINANCIËLE BATEN EN LASTEN;6 - BELASTINGEN;7 - RESULTAAT DEELNEMINGEN;9 - BUITENGEWOON RESULTAAT;HR-GEREALISSERDE HERWAARDERING;NETRES - NETTO RESULTAAT;RESNB - RESULTAAT NA BELASTINGEN;RESUL - RESULTAAT;SALDO - SALDO BATEN EN LASTEN;TOTB - TOTAAL BATEN;TOTL - TOTAAL LASTEN;TOTRES - TOTAAL RESULTAAT
10249;PO6;Gem Emmen Sec L & Z Ondw;2011;28.764.036;3.182.128;;;308.489;25.116.733;630.249;2.965.467;3.931.647;271.159;;;;;-118.284;-118.284;-118.284;-389.443;32.254.653;32.644.096;-118.284
10249;PO6;Gem Emmen Sec L & Z Ondw;2012;28.414.480;2.820.047;;;239.338;24.287.344;592.906;1.942.022;4.067.894;258.706;;;;;842.405;842.405;842.405;583.699;31.473.865;30.890.166;842.405
10249;PO6;Gem Emmen Sec L & Z Ondw;2013;29.493.169;2.431.793;;;242.019;24.510.527;639.300;2.040.324;4.138.773;281.173;;;;;1.119.230;1.119.230;1.119.230;838.057;32.166.981;31.328.924;1.119.230
10249;PO6;Gem Emmen Sec L & Z Ondw;2014;29.377.008;1.791.508;;;232.833;25.898.900;1.008.098;2.424.324;3.921.804;306.074;;;;;-1.545.703;-1.545.703;-1.545.703;-1.851.777;31.401.349;33.253.126;-1.545.703
10249;PO6;Gem Emmen Sec L & Z Ondw;2015;30.525.235;2.138.374;;;269.791;26.398.464;628.883;3.131.820;3.610.514;243.441;;;;;-592.840;-592.840;-592.840;-836.281;32.933.400;33.769.681;-592.840
10426;PO5;Gem Hoogez Sap Afd POI;2011;11.579.420;794.369;;;994.657;11.406.297;322.968;846.900;1.183.458;;;;;;-391.177;-391.177;-391.177;-391.177;13.368.446;13.759.623;-391.177
10426;PO5;Gem Hoogez Sap Afd POI;2012;11.685.037;610.021;;;1.010.811;11.302.899;322.511;747.245;1.153.760;;;;;;-220.546;-220.546;-220.546;-220.546;13.305.869;13.526.415;-220.546
10426;PO5;Gem Hoogez Sap Afd POI;2013;11.738.213;667.084;;;910.498;11.007.377;254.312;759.873;1.135.468;;;;;;158.765;158.765;158.765;158.765;13.315.795;13.157.030;158.765
10426;PO5;Gem Hoogez Sap Afd POI;2014;11.436.761;1.132.284;;;317.216;10.701.930;256.313;823.206;1.143.647;;;;;;-38.835;-38.835;-38.835;-38.835;12.886.261;12.925.096;-38.835
10426;PO5;Gem Hoogez Sap Afd POI;2015;11.390.293;2.344.434;;;367.624;11.329.980;259.146;839.056;1.434.265;;;;;;239.904;239.904;239.904;239.904;14.102.351;13.862.447;239.904
