WPO (BAO);Peildatum:;1-10-2016;Bijgewerkt tot:;15-10-2016;;;Actieve inschrijvingen;;;;;;;waarvan bekostigd;;;;;;;waarvan niet bekostigd;;;;;;
BRIN_NUMMER;VESTIGINGSNUMMER;NAAM_INSTELLING;GEMEENTENAAM;PROVINCIE;SWV;BEVOEGD_GEZAG_NUMMER;TOTAAL;TOTAAL_JONGER_8;TOTAAL_8_EO;TOTAAL_GEW00;TOTAAL_GEW03;TOTAAL_GEW12;TOTAAL_NOAT;TOTAAL_BEKOSTIGD;BEK_JONGER_8;BEK_8_EO;BEK_GEW00;BEK_GEW03;BEK_GEW12;BEK_NOAT;TOTAAL_NIET_BEKOSTIGD;NIETBEK_JONGER_8;NIETBEK_8_EO;NIETBEK_GEW00;NIETBEK_GEW03;NIETBEK_GEW12;NIETBEK_NOAT
00AP;0;De Schanskorf;ZOETERMEER;Zuid-Holland;PO2817;41646;80;41;39;80;0;0;12;80;41;39;80;0;0;12;0;0;0;0;0;0;0
00AR;0;"BS ""De Maasparel""";MAASGOUW;Limburg;PO3102;41797;135;67;68;134;0;1;1;135;67;68;134;0;1;1;0;0;0;0;0;0;0
00AV;0;De Morgenster;NISSEWAARD;Zuid-Holland;PO2808;41646;72;36;36;60;11;1;6;72;36;36;60;11;1;6;0;0;0;0;0;0;0
00AZ;0;De Kiezel en de Kei;MOLENWAARD;Zuid-Holland;PO2816;41638;109;50;59;100;4;5;10;109;50;59;100;4;5;10;0;0;0;0;0;0;0
00BA;0;OBS De Klimboom;OVERBETUWE;Gelderland;PO2506;41530;92;38;54;89;2;1;7;92;38;54;89;2;1;7;0;0;0;0;0;0;0
00BB;0;Obs Letterwies;OLDAMBT;Groningen;PO2001;41613;83;33;50;74;9;0;0;83;33;50;74;9;0;0;0;0;0;0;0;0;0
00BS;0;Geref Basisschool;DALFSEN;Overijssel;PO2304;41168;135;66;69;133;2;0;1;135;66;69;133;2;0;1;0;0;0;0;0;0;0
00BW;0;Jenaplanschool De Vlieger;SITTARD-GELEEN;Limburg;PO3104;41516;110;61;49;109;1;0;8;110;61;49;109;1;0;8;0;0;0;0;0;0;0
00CD;0;Basisschool Lockaert;OSS;Noord-Brabant;PO3006;41228;137;74;63;127;8;2;9;136;73;63;126;8;2;9;1;1;0;1;0;0;0
00CG;0;De Harlekijn;LANDGRAAF;Limburg;PO3106;41516;400;216;184;378;11;11;32;400;216;184;378;11;11;32;0;0;0;0;0;0;0
00CS;0;De Leilinde;OLDAMBT;Groningen;PO2001;41025;71;36;35;69;0;2;5;71;36;35;69;0;2;5;0;0;0;0;0;0;0
00CU;0;Basisschool Zilverlinde;ROOSENDAAL;Noord-Brabant;PO3002;41246;59;32;27;58;1;0;0;58;32;26;57;1;0;0;1;0;1;1;0;0;0
00CV;0;School Matthijsje;WESTSTELLINGWERF;Friesland;PO2101;20210;50;24;26;49;1;0;1;50;24;26;49;1;0;1;0;0;0;0;0;0;0
00DA;0;Chr BS Betrouwen;OPSTERLAND;Friesland;PO2101;30051;66;31;35;60;5;1;0;66;31;35;60;5;1;0;0;0;0;0;0;0;0
00DD;0;Basissch Het Startnest;UITHOORN;Noord-Holland;PO2708;30090;273;128;145;249;11;13;56;273;128;145;249;11;13;56;0;0;0;0;0;0;0
00DM;0;De Bolderik;BERNHEZE;Noord-Brabant;PO3006;13674;136;62;74;136;0;0;6;136;62;74;136;0;0;6;0;0;0;0;0;0;0
00DN;0;De Bundeling;MEERSSEN;Limburg;PO3105;42669;160;74;86;159;1;0;0;159;74;85;158;1;0;0;1;0;1;1;0;0;0
00DO;0;Van Rijckevorsel;ROTTERDAM;Zuid-Holland;PO2803;41775;128;67;61;108;12;8;17;128;67;61;108;12;8;17;0;0;0;0;0;0;0
00DW;0;De Trompetter;ZEVENAAR;Gelderland;PO2504;61284;131;66;65;131;0;0;3;131;66;65;131;0;0;3;0;0;0;0;0;0;0
00DX;0;Vrije School Assen;ASSEN;Drenthe;PO2201;77456;168;87;81;167;0;1;1;168;87;81;167;0;1;1;0;0;0;0;0;0;0
00DY;0;Basisschool De Wegwijzer;ELBURG;Gelderland;PO2509;41632;118;64;54;117;1;0;3;118;64;54;117;1;0;3;0;0;0;0;0;0;0
00DZ;0;Agnieten-School;ELBURG;Gelderland;PO2509;40950;130;57;73;126;4;0;0;130;57;73;126;4;0;0;0;0;0;0;0;0;0
00EB;0;Bs Het Telraam;BOXMEER;Noord-Brabant;PO2507;48348;188;79;109;188;0;0;0;188;79;109;188;0;0;0;0;0;0;0;0;0;0
00EI;0;Reform Basisschool;CROMSTRIJEN;Zuid-Holland;PO0001;30133;145;72;73;132;13;0;0;145;72;73;132;13;0;0;0;0;0;0;0;0;0
00FE;0;Geref Basissch De Halm;WOUDRICHEM;Noord-Brabant;PO2816;41646;61;27;34;57;4;0;4;61;27;34;57;4;0;4;0;0;0;0;0;0;0
00FG;0;BS De Triangel;HENGELO;Overijssel;PO2302;41624;94;47;47;92;0;2;8;94;47;47;92;0;2;8;0;0;0;0;0;0;0
00FI;0;Samenw Basisschool Pork;VLAGTWEDDE;Groningen;PO2001;45000;219;122;97;193;20;6;6;219;122;97;193;20;6;6;0;0;0;0;0;0;0
00FQ;0;Montessori BS De Kraal;THOLEN;Zeeland;PO2902;30124;62;29;33;55;6;1;1;62;29;33;55;6;1;1;0;0;0;0;0;0;0
00GQ;0;Rehoboth Basisschool;ALPHEN AAN DEN RIJN;Zuid-Holland;PO0001;20183;140;64;76;126;13;1;0;140;64;76;126;13;1;0;0;0;0;0;0;0;0
00GR;0;Kristal;HEERDE;Gelderland;PO2305;41632;98;56;42;94;4;0;0;98;56;42;94;4;0;0;0;0;0;0;0;0;0
00GV;0;Basisschool Maria-School;TUBBERGEN;Overijssel;PO2301;50949;157;77;80;156;1;0;0;157;77;80;156;1;0;0;0;0;0;0;0;0;0
00GX;0;RK BS St Jacobus;OVERBETUWE;Gelderland;PO2506;28147;109;52;57;109;0;0;1;109;52;57;109;0;0;1;0;0;0;0;0;0;0
00GZ;0;Maharishi Basisschool;LELYSTAD;Flevoland;PO2403;41335;121;68;53;114;7;0;12;121;68;53;114;7;0;12;0;0;0;0;0;0;0
00HA;0;Ref Basissch Augustinus;ERMELO;Gelderland;PO0001;30128;242;120;122;220;17;5;0;242;120;122;220;17;5;0;0;0;0;0;0;0;0
00HH;0;OBS De Vliete;NOORD BEVELAND;Zeeland;PO2902;41670;87;43;44;75;9;3;5;87;43;44;75;9;3;5;0;0;0;0;0;0;0
00HZ;0;Klavertje 4;OUDEWATER;Utrecht;PO2604;20252;200;99;101;200;0;0;8;200;99;101;200;0;0;8;0;0;0;0;0;0;0
00IF;0;RK BS Heilig Hart;TUBBERGEN;Overijssel;PO2301;50949;86;36;50;86;0;0;0;86;36;50;86;0;0;0;0;0;0;0;0;0;0
