PEILDATUM;BRIN_NUMMER;BEVOEGD_GEZAG_NUMMER;TOTAAL_AANTAL_LEERLINGEN;AANTAL_LEERLINGEN_4_TOT_EN_MET_7_JAAR;AANTAL_LEERLINGEN_8_JAAR_EN_OUDER;SCHOOLGEWICHT;GEMIDDELDE_GEWOGEN_LEEFTIJD;AANTAL_GEWICHTENLEERLINGEN_IN_IMPULSGEBIED;ONDERBOUW;BOVENBOUW;KLEINE_SCHOLEN_TOESLAG;DRIEVIERDE_OPSLAG_NEVENVESTIGINGEN;ZEER_KLEINE_SCHOLEN_TOESLAG;BESTRIJDING_ONDERWIJSACHTERSTANDEN;DIRECTIETOESLAG;TOTAAL_PERSONELE_BEKOSTIGING;IMPULSGEBIEDEN;PERSONEELS_EN_ARBEIDSMARKTBELEID;PRESTATIEBOX;TOTAAL
20141001;00AP;41646;88;42;46;0;38,63;0;148.099,21;112.848,50;49.742,64;0,00;0,00;0,00;19.434,99;330.125,34;0,00;65.954,25;7.156,16;403.235,75
20141001;00AR;41797;141;70;71;0;41,99;0;257.789,99;181.910,94;3.065,59;0,00;0,00;0,00;36.215,98;478.982,50;0,00;85.561,60;11.466,12;576.010,22
20141001;00AV;41646;59;34;25;2;39,87;13;121.854,07;62.335,42;76.588,15;0,00;0,00;6.059,08;19.434,99;286.271,71;23.075,00;55.784,86;4.797,88;369.929,45
20141001;00AZ;41638;133;55;78;0;38,99;0;194.861,93;192.261,88;10.048,72;0,00;0,00;0,00;36.215,98;433.388,51;0,00;82.602,00;10.815,56;526.806,07
20141001;00BA;41530;106;47;59;0;39,60;0;167.854,11;146.595,29;34.279,66;0,00;0,00;0,00;36.215,98;384.945,04;0,00;72.613,35;8.619,92;466.178,31
20141001;00BB;41613;98;37;61;0;45,57;0;142.431,73;163.367,38;44.661,24;0,00;0,00;0,00;36.215,98;386.676,33;0,00;69.653,75;7.969,36;464.299,44
20141001;00BS;41168;128;63;65;0;38,05;0;220.446,42;158.237,98;14.306,60;0,00;0,00;0,00;36.215,98;429.206,98;0,00;80.752,25;10.408,96;520.368,19
20141001;00BW;41516;98;53;45;0;42,12;0;195.504,85;115.485,26;42.797,03;0,00;0,00;0,00;36.215,98;390.003,12;0,00;69.653,75;7.969,36;467.626,23
20141001;00CD;80628;160;82;78;0;44,22;0;310.502,00;205.483,22;0,00;0,00;0,00;0,00;36.215,98;552.201,20;0,00;93.822,15;13.011,20;659.034,55
20141001;00CG;41516;389;207;182;1;38,43;36;727.988,72;445.307,83;0,00;0,00;0,00;2.972,83;36.215,98;1.212.485,36;63.900,00;192.329,99;31.633,48;1.500.348,83
20141001;00CS;41025;78;37;41;0;38,82;0;130.795,88;100.834,83;58.721,07;0,00;0,00;0,00;19.434,99;309.786,77;0,00;62.254,75;6.342,96;378.384,48
20141001;00CU;41246;71;31;40;0;50,00;0;125.732,90;112.869,20;74.482,40;0,00;0,00;0,00;19.434,99;332.519,49;0,00;59.665,10;5.773,72;397.958,31
20141001;00CV;20210;41;21;20;0;36,51;0;71.975,42;47.690,38;88.694,57;0,00;0,00;0,00;19.434,99;227.795,36;0,00;48.566,60;3.334,12;279.696,08
20141001;00DA;30051;73;38;35;0;39,54;0;135.605,61;86.895,25;63.746,98;0,00;0,00;0,00;19.434,99;305.682,83;0,00;60.405,00;5.936,36;372.024,19
20141001;00DD;30090;296;148;148;6;41,72;0;543.179,95;377.899,53;0,00;0,00;0,00;18.614,36;36.215,98;975.909,82;0,00;151.697,47;24.070,72;1.151.678,01
20141001;00DM;13674;157;67;90;0;43,36;0;251.018,34;234.587,48;0,00;0,00;0,00;0,00;36.215,98;521.821,80;0,00;92.466,33;12.767,24;627.055,37
20141001;00DN;42669;153;75;78;0;42,91;0;279.418,27;202.171,56;0,00;0,00;0,00;0,00;36.215,98;517.805,81;0,00;90.658,57;12.441,96;620.906,34
20141001;00DO;41775;157;70;87;3;35,45;0;236.461,09;204.464,31;0,00;0,00;0,00;8.566,44;36.215,98;485.707,82;0,00;93.305,07;12.767,24;591.780,13
20141001;00DW;61284;170;80;90;0;43,73;0;301.102,46;235.666,74;0,00;0,00;0,00;0,00;36.215,98;572.985,18;0,00;98.341,55;13.824,40;685.151,13
20141001;00DX;77456;173;87;86;0;41,80;3;319.625,99;219.813,25;0,00;0,00;0,00;0,00;36.215,98;575.655,22;5.325,00;99.697,37;14.068,36;694.745,95
20141001;00DY;41632;121;65;56;0;33,61;0;213.998,84;128.269,69;19.233,81;0,00;0,00;0,00;36.215,98;397.718,32;0,00;78.162,60;9.839,72;485.720,64
20141001;00DZ;40950;51;22;29;0;40,20;0;79.185,00;72.619,25;84.128,37;0,00;0,00;0,00;19.434,99;255.367,61;0,00;52.266,10;4.147,32;311.781,03
20141001;00EB;48348;210;87;123;0;42,30;0;321.652,66;316.377,28;0,00;0,00;0,00;0,00;36.215,98;674.245,92;0,00;111.153,15;17.077,20;802.476,27
20141001;00EI;30133;128;66;62;0;36,86;0;227.284,69;148.543,48;14.080,21;0,00;0,00;0,00;36.215,98;426.124,36;0,00;80.752,25;10.408,96;517.285,57
20141001;00FE;41646;67;24;43;0;39,00;0;85.041,84;106.004,46;68.622,40;0,00;0,00;0,00;19.434,99;279.103,69;0,00;58.185,30;5.448,44;342.737,43
20141001;00FG;41624;100;46;54;0;42,80;4;171.140,79;139.772,41;41.300,86;0,00;0,00;0,00;36.215,98;388.430,04;7.100,00;70.393,65;8.132,00;474.055,69
20141001;00FI;45000;212;111;101;0;40,12;0;399.110,58;252.653,44;0,00;0,00;0,00;0,00;36.215,98;687.980,00;0,00;112.057,03;17.239,84;817.276,87
20141001;00FQ;30124;72;33;39;0;42,07;0;121.652,56;100.024,03;66.775,47;0,00;0,00;0,00;19.434,99;307.887,05;0,00;60.035,05;5.855,04;373.777,14
20141001;00GQ;20183;149;68;81;0;38,59;0;239.652,95;198.606,48;0,00;0,00;0,00;0,00;36.215,98;474.475,41;0,00;88.850,81;12.116,68;575.442,90
20141001;00GR;41632;77;46;31;0;39,00;0;162.996,86;76.421,82;59.747,80;0,00;0,00;0,00;19.434,99;318.601,47;0,00;61.884,80;6.261,64;386.747,91
20141001;00GU;41856;29;11;18;0;41,63;0;40.325,36;45.908,25;105.884,76;0,00;0,00;0,00;19.434,99;211.553,36;0,00;44.127,20;2.358,28;258.038,84
20141001;00GV;50949;182;81;101;0;42,22;0;299.167,81;259.527,60;0,00;0,00;0,00;0,00;36.215,98;594.911,39;0,00;103.764,83;14.800,24;713.476,46
20141001;00GX;28147;125;44;81;0;41,13;0;160.276,45;205.274,52;17.629,52;0,00;0,00;0,00;36.215,98;419.396,47;0,00;79.642,40;10.165,00;509.203,87
20141001;00GZ;41335;108;61;47;0;38,80;7;215.579,61;115.560,69;32.151,81;0,00;0,00;0,00;36.215,98;399.508,09;12.425,00;73.353,25;8.782,56;494.068,90
20141001;00HA;30128;250;118;132;0;36,53;0;404.543,26;314.842,08;0,00;0,00;0,00;0,00;36.215,98;755.601,32;0,00;129.230,75;20.330,00;905.162,07
20141001;00HH;41670;88;41;47;2;47,62;0;161.745,65;128.995,93;55.649,51;0,00;0,00;6.669,47;19.434,99;372.495,55;0,00;66.513,41;7.156,16;446.165,12
20141001;00HZ;20252;207;90;117;0;40,28;0;324.274,07;293.284,46;0,00;0,00;0,00;0,00;36.215,98;653.774,51;0,00;109.797,33;16.833,24;780.405,08
20141001;00IF;50949;104;36;68;0;37,11;0;124.392,78;163.469,63;34.897,46;0,00;0,00;0,00;36.215,98;358.975,85;0,00;71.873,45;8.457,28;439.306,58
20141001;00IJ;85600;265;113;152;0;41,57;0;413.935,53;387.374,08;0,00;0,00;0,00;0,00;36.215,98;837.525,59;0,00;136.009,85;21.549,80;995.085,24
20141001;00IM;30145;103;63;40;0;33,87;0;208.177,41;91.958,27;34.201,18;0,00;0,00;0,00;36.215,98;370.552,84;0,00;71.503,50;8.375,96;450.432,30
20141001;01VE;40945;91;39;52;0;41,49;0;142.717,34;132.387,89;48.872,23;0,00;0,00;0,00;19.434,99;343.412,45;0,00;67.064,10;7.400,12;417.876,67
20141001;01VG;40865;295;140;155;0;42,36;2;517.993,34;398.988,23;0,00;44.705,09;0,00;0,00;36.215,98;997.902,64;3.550,00;149.568,05;23.989,40;1.175.010,09
20141001;01VI;30010;302;146;156;8;35,73;32;495.094,86;368.041,33;0,00;0,00;0,00;22.932,06;36.215,98;922.284,23;56.800,00;154.968,27;24.558,64;1.158.611,14
20141001;01VQ;40257;410;191;219;0;39,42;0;680.528,76;542.864,25;0,00;0,00;0,00;0,00;36.215,98;1.259.608,99;0,00;201.541,15;33.341,20;1.494.491,34
20141001;01VR;41226;224;117;107;0;43,82;0;440.852,93;280.493,67;0,00;0,00;0,00;0,00;36.215,98;757.562,58;0,00;117.480,31;18.215,68;893.258,57
20141001;01VY;41638;245;106;139;1;41,35;0;387.207,03;353.252,31;0,00;0,00;0,00;3.087,82;36.215,98;779.763,14;0,00;127.250,63;19.923,40;926.937,17
20141001;01WQ;42607;98;61;37;0;31,88;0;195.913,04;82.675,05;37.263,85;0,00;0,00;0,00;36.215,98;352.067,92;0,00;69.653,75;7.969,36;429.691,03
20141001;01WR;40945;50;23;27;0;40,48;0;83.084,35;67.856,04;85.337,97;0,00;0,00;0,00;19.434,99;255.713,35;0,00;51.896,15;4.066,00;311.675,50
20141001;01WU;30027;435;206;229;0;41,97;2;758.447,15;586.578,39;0,00;0,00;0,00;0,00;36.215,98;1.381.241,52;3.550,00;212.839,65;35.374,20;1.633.005,37
20141001;01XH;41638;123;66;57;10;41,61;0;241.890,65;145.339,18;19.573,49;0,00;0,00;30.980,62;36.215,98;473.999,92;0,00;81.698,30;10.002,36;565.700,58
20141001;01XU;40774;423;212;211;0;37,56;0;736.979,92;510.313,97;0,00;0,00;0,00;0,00;36.215,98;1.283.509,87;0,00;207.416,37;34.398,36;1.525.324,60
20141001;02ZF;41638;64;34;30;2;38,69;0;119.984,88;73.655,19;70.994,27;0,00;0,00;5.966,14;19.434,99;290.035,47;0,00;57.634,61;5.204,48;352.874,56
20141001;02ZW;40945;163;92;71;0;39,46;0;327.965,41;176.089,13;0,00;0,00;0,00;0,00;36.215,98;540.270,52;0,00;95.177,97;13.255,16;648.703,65
20141001;02ZY;41646;225;98;127;0;40,93;0;356.066,21;321.026,96;0,00;0,00;0,00;0,00;36.215,98;713.309,15;0,00;117.932,25;18.297,00;849.538,40
20141001;03AG;26158;194;98;96;0;41,28;0;357.664,25;243.755,02;0,00;0,00;0,00;0,00;36.215,98;637.635,25;0,00;109.188,11;15.776,08;762.599,44
20141001;03AH;41167;274;138;136;0;39,10;13;489.633,52;335.710,70;0,00;0,00;0,00;0,00;36.215,98;861.560,20;23.075,00;140.077,31;22.281,68;1.046.994,19
20141001;03AI;77456;78;43;35;0;44,88;0;164.146,45;92.952,68;63.409,99;0,00;0,00;0,00;19.434,99;339.944,11;0,00;62.254,75;6.342,96;408.541,82
20141001;03AN;41785;40;18;22;0;35,92;0;61.198,43;52.038,74;88.834,81;0,00;0,00;0,00;19.434,99;221.506,97;0,00;48.196,65;3.252,80;272.956,42
20141001;03AP;41662;91;34;57;7;30,36;0;106.789,66;124.556,26;41.948,93;0,00;0,00;18.585,26;19.434,99;311.315,10;0,00;69.021,16;7.400,12;387.736,38
20141001;03AZ;41646;135;70;65;0;37,71;0;243.831,62;157.521,72;8.135,08;0,00;0,00;0,00;36.215,98;445.704,40;0,00;83.341,90;10.978,20;540.024,50
20141001;03BA;30013;72;41;31;0;35,92;0;139.396,42;73.327,31;61.586,29;0,00;0,00;0,00;19.434,99;293.745,01;0,00;60.035,05;5.855,04;359.635,10
20141001;03BR;83280;101;35;66;6;42,88;0;130.346,27;171.004,07;40.409,48;0,00;0,00;18.888,45;36.215,98;396.864,25;0,00;72.441,08;8.213,32;477.518,65
20141001;03BS;41565;150;72;78;0;32,33;0;232.751,14;175.425,53;0,00;0,00;0,00;0,00;36.215,98;444.392,65;0,00;89.302,75;12.198,00;545.893,40
20141001;03BT;41630;65;32;33;0;44,04;0;120.903,16;86.742,69;75.061,64;0,00;0,00;0,00;19.434,99;302.142,48;0,00;57.445,40;5.285,80;364.873,68
20141001;03BU;41500;103;54;49;6;36,66;0;185.457,03;117.079,65;35.545,96;0,00;0,00;17.418,78;36.215,98;391.717,40;0,00;73.180,98;8.375,96;473.274,34
20141001;03BV;41662;176;80;96;5;37,07;0;276.279,30;230.656,20;0,00;0,00;0,00;14.596,38;36.215,98;557.747,86;0,00;102.451,09;14.312,32;674.511,27
20141001;03BX;41401;245;121;124;0;41,63;0;443.578,95;316.256,83;0,00;0,00;0,00;0,00;36.215,98;796.051,76;0,00;126.971,05;19.923,40;942.946,21
20141001;03BY;41340;132;70;62;13;37,10;0;241.842,23;149.025,74;10.664,72;0,00;0,00;37.965,95;36.215,98;475.714,62;0,00;85.866,59;10.734,24;572.315,45
20141001;03CJ;77533;130;68;62;0;46,21;0;263.794,03;167.331,56;13.915,84;0,00;0,00;0,00;36.215,98;481.257,41;0,00;81.492,15;10.571,60;573.321,16
