PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20151001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST;285;Voorst;Gelderland;Vso;Protestants-Christelijk;20137;4085,48214285714;112
20151001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN;200;Apeldoorn;Gelderland;Vso;Protestants-Christelijk;20137;9534,9696969697;34
20151001;00AP;00;De Schanskorf;2715BT;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2534,93103448276;87
20151001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;935,748201438849;139
20151001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2046,23188405797;70
20151001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;6329,71014492754;70
20151001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;Vso;Protestants-Christelijk;62077;9060,93617021277;47
20151001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;3656,41666666667;24
20151001;00AZ;00;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;1753,14406779661;118
20151001;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;426,51;100
20151001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;239,134831460674;89
20151001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41168;1414,83458646617;133
20151001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;2128,38043478261;98
20151001;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE;193;Zwolle;Overijssel;Sbo;Gereformeerd vrijgemaakt;41632;12244,0923076923;65
20151001;00CD;00;Lockaert;5345JG;OSS;828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;80628;349,220588235294;136
20151001;00CG;00;De Harlekijn;6372AC;LANDGRAAF;882;Landgraaf;Limburg;Bo;Openbaar;41516;445,326781326781;410
20151001;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;5660,83950617284;81
20151001;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;2921,28813559322;59
20151001;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;4412,44444444444;45
20151001;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;752,986111111111;72
20151001;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;344,189964157706;279
20151001;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;13674;75,781954887218;133
20151001;00DN;00;De Bundeling;6241BB;BUNDE;938;Meerssen;Limburg;Bo;Openbaar;42669;1620,57142857143;168
20151001;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND;599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;751,421428571429;140
20151001;00DW;00;De Trompetter;6986AT;ANGERLO;299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;600,093333333333;150
20151001;00DX;00;Vrije School Assen;9404KK;ASSEN;106;Assen;Drenthe;Bo;Antroposofisch;77456;6460,73529411765;170
20151001;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE;230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;113,154545454545;110
20151001;00DZ;00;Agnieten-School;8081NB;ELBURG;230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;4932,66666666667;81
20151001;00EB;00;Bs Het Telraam;5441AK;OEFFELT;756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;90,8163265306122;196
20151001;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL;502;Capelle aan den IJssel;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;8871,39655172414;58
20151001;00EI;00;Reform Basisschool;3286BC;KLAASWAAL;611;Cromstrijen;Zuid-Holland;Bo;Reformatorisch;30133;1272,90298507463;134
20151001;00EM;00;SSBO De Wijngaard;2992KK;BARENDRECHT;489;Barendrecht;Zuid-Holland;Sbo;Reformatorisch;30185;9453,51875;160
20151001;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;874;Woudrichem;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;5676,77941176471;68
20151001;00FG;00;BS De Triangel;7557KJ;HENGELO OV;164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;3367,31578947368;95
20151001;00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;48;Vlagtwedde;Groningen;Bo;Algemeen bijzonder;45000;136,037558685446;220
20151001;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;2021,43939393939;66
20151001;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN;484;Alphen aan den Rijn;Zuid-Holland;Bo;Reformatorisch;20183;3422,25170068027;147
20151001;00GR;00;Kristal;8181VZ;HEERDE;246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;1509,17391304348;92
20151001;00GU;00;De Reinboge;8732EE;KUBAARD;140;Littenseradiel;Friesland;Bo;Algemeen bijzonder;41856;595,6875;16
20151001;00GV;00;Basisschool Maria-School;7661RA;VASSE;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;612,564935064935;164
20151001;00GX;00;RK BS St Jacobus;6675BB;VALBURG;1734;Overbetuwe;Gelderland;Bo;Rooms-Katholiek;28147;234,612612612613;111
20151001;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;995;Lelystad;Flevoland;Bo;Algemeen bijzonder;41335;1062,69565217391;115
20151001;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;233;Ermelo;Gelderland;Bo;Reformatorisch;30128;2585,68774703557;253
20151001;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;1695;Noord-Beveland;Zeeland;Bo;Openbaar;41670;1611,98701298701;77
20151001;00HZ;00;Klavertje 4;3421XL;OUDEWATER;589;Oudewater;Utrecht;Bo;Algemeen bijzonder;20252;733,04;200
20151001;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;631,555555555556;90
20151001;00IH;00;De Horizon;6835HZ;ARNHEM;202;Arnhem;Gelderland;Sbo;Rooms-Katholiek;40812;2758,64864864865;148
20151001;00IJ;00;PC BS De Schaapskooi;7443HC;NIJVERDAL;163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;20,406976744186;258
20151001;00IM;00;Joos v Larensch;4341ER;ARNEMUIDEN;687;Middelburg;Zeeland;Bo;Reformatorisch;30145;253,327433628319;113
20151001;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;118;Hoogeveen;Drenthe;Sbo;Algemeen bijzonder;41414;6385,08196721311;61
20151001;00JL;00;SSBO Kingma;3817GA;AMERSFOORT;307;Amersfoort;Utrecht;Sbo;Algemeen bijzonder;21881;3945,17341040462;173
20151001;00JX;00;SSBO Wending;1187BT;AMSTELVEEN;362;Amstelveen;Noord-Holland;Sbo;Openbaar;41580;2467,98795180723;83
20151001;00JY;00;SSBO Kompas;1784MC;DEN HELDER;400;Den Helder;Noord-Holland;Sbo;Algemeen bijzonder;30742;3574,04651162791;129
20151001;00KK;00;Mytylschool De Kiem;3318AA;DORDRECHT;505;Dordrecht;Zuid-Holland;So;Algemeen bijzonder;41417;6055,55614973262;187
20151001;00KK;00;Mytylschool De Kiem;3318AA;DORDRECHT;505;Dordrecht;Zuid-Holland;Vso;Algemeen bijzonder;41417;8909,83333333333;12
20151001;00KM;00;Attendiz;7556PE;HENGELO OV;164;Hengelo;Overijssel;Vso;Algemeen bijzonder;25859;6836,03333333333;60
