PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM
20160415;20160722;00AP;00;De Schanskorf;2715BT;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;12;0;12;538,25;0; ;0;
20160415;20160722;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;17;0;17;538,411764705882;0; ;0;
20160415;20160722;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;8;0;7;522,857142857143;0; ;0;
20160415;20160722;00AZ;00;De Kiezel en de Kei;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;19;0;0; ;19;81,2631578947368;0;
20160415;20160722;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;24;0;0; ;24;80,6666666666667;0;
20160415;20160722;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;15;0;15;534,6;0; ;0;
20160415;20160722;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41168;14;0;14;527,285714285714;0; ;0;
20160415;20160722;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;11;0;11;533,090909090909;0; ;0;
20160415;20160722;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE; 193;Zwolle;Overijssel;Sbo;Gereformeerd vrijgemaakt;41632;7;0;0; ;0; ;0;
20160415;20160722;00CD;00;Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;80628;19;0;0; ;0; ;19;213,157894736842
20160415;20160722;00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;Openbaar;41516;47;0;47;536,191489361702;0; ;0;
20160415;20160722;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;18;0;18;532,388888888889;0; ;0;
20160415;20160722;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;9;0;0; ;10;83,6;0;
20160415;20160722;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;7;0;0; ;0; ;7;205,285714285714
20160415;20160722;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;  86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;13;0;0; ;0; ;13;209,076923076923
20160415;20160722;00DD;00;Basissch Het Startnest;1422LE;UITHOORN; 451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;32;0;0; ;0; ;32;211,9375
20160415;20160722;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;13674;18;0;18;536,777777777778;0; ;0;
20160415;20160722;00DN;00;De Bundeling;6241BB;BUNDE; 938;Meerssen;Limburg;Bo;Openbaar;42669;21;1;22;535;0; ;0;
20160415;20160722;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND; 599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;24;0;24;530;0; ;0;
20160415;20160722;00DW;00;De Trompetter;6986AT;ANGERLO; 299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;61284;25;0;25;538,88;0; ;0;
20160415;20160722;00DX;00;Vrije School Assen;9404KK;ASSEN; 106;Assen;Drenthe;Bo;Antroposofisch;77456;21;0;0; ;21;76,0952380952381;0;
20160415;20160722;00DY;00;Basisschool De Wegwijzer;8084GK;'T HARDE; 230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;12;0;12;539,416666666667;0; ;0;
20160415;20160722;00DZ;00;Agnieten-School;8081NB;ELBURG; 230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;12;0;13;537,615384615385;0; ;0;
20160415;20160722;00EB;00;Bs Het Telraam;5441AK;OEFFELT; 756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;28;0;28;533,821428571429;0; ;0;
20160415;20160722;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL; 502;Capelle aan den IJssel;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;14;0;0; ;0; ;0;
20160415;20160722;00EI;00;Reform Basisschool;3286BC;KLAASWAAL; 611;Cromstrijen;Zuid-Holland;Bo;Reformatorisch;30133;15;0;15;529,133333333333;0; ;0;
20160415;20160722;00EM;00;SSBO De Wijngaard;2992KK;BARENDRECHT; 489;Barendrecht;Zuid-Holland;Sbo;Reformatorisch;30185;27;0;0; ;0; ;0;
20160415;20160722;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK; 874;Woudrichem;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;12;0;12;534,083333333333;0; ;0;
20160415;20160722;00FG;00;BS De Triangel;7557KJ;HENGELO OV; 164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;15;1;14;530,571428571429;0; ;0;
20160415;20160722;00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;  48;Vlagtwedde;Groningen;Bo;Algemeen bijzonder;45000;27;0;27;531;0; ;0;
20160415;20160722;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN; 716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;7;1;6;531;0; ;0;
20160415;20160722;00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN; 484;Alphen aan den Rijn;Zuid-Holland;Bo;Reformatorisch;20183;22;0;22;533,636363636364;0; ;0;
20160415;20160722;00GR;00;Kristal;8181VZ;HEERDE; 246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;6;1;5;531;0; ;0;
20160415;20160722;00GU;00;De Reinboge;8732EE;KUBAARD; 140;Littenseradiel;Friesland;Bo;Algemeen bijzonder;41856;6;0;6;526,666666666667;0; ;0;
20160415;20160722;00GV;00;Basisschool Maria-School;7661RA;VASSE; 183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;27;0;27;528,851851851852;0; ;0;
20160415;20160722;00GX;00;RK BS St Jacobus;6675BB;VALBURG;1734;Overbetuwe;Gelderland;Bo;Rooms-Katholiek;28147;15;0;15;532;0; ;0;
20160415;20160722;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD; 995;Lelystad;Flevoland;Bo;Algemeen bijzonder;41335;14;0;0; ;14;84,7142857142857;0;
20160415;20160722;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO; 233;Ermelo;Gelderland;Bo;Reformatorisch;30128;34;0;34;531,294117647059;0; ;0;
20160415;20160722;00HH;00;OBS De Vliete;4491GB;WISSENKERKE;1695;Noord-Beveland;Zeeland;Bo;Openbaar;41670;8;1;7;534,571428571429;0; ;0;
20160415;20160722;00HZ;00;Klavertje 4;3421XL;OUDEWATER; 589;Oudewater;Utrecht;Bo;Algemeen bijzonder;20252;33;0;33;536,909090909091;0; ;0;
20160415;20160722;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN; 183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;16;0;16;530,0625;0; ;0;
20160415;20160722;00IH;00;De Horizon;6835HZ;ARNHEM; 202;Arnhem;Gelderland;Sbo;Rooms-Katholiek;40812;32;0;0; ;0; ;0;
20160415;20160722;00IJ;00;PC BS De Schaapskooi;7443HC;NIJVERDAL; 163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;36;0;37;539,432432432432;0; ;0;
20160415;20160722;00IM;00;Joos v Larensch;4341ER;ARNEMUIDEN; 687;Middelburg;Zeeland;Bo;Reformatorisch;30145;13;0;13;537,538461538462;0; ;0;
20160415;20160722;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN; 118;Hoogeveen;Drenthe;Sbo;Algemeen bijzonder;41414;10;0;0; ;0; ;10;158,1
20160415;20160722;00JL;00;SSBO Kingma;3817GA;AMERSFOORT; 307;Amersfoort;Utrecht;Sbo;Algemeen bijzonder;21881;28;0;12;526,75;0; ;0;
20160415;20160722;00JX;00;SSBO Wending;1187BT;AMSTELVEEN; 362;Amstelveen;Noord-Holland;Sbo;Openbaar;41580;15;0;0; ;0; ;0;
20160415;20160722;00JY;00;SSBO Kompas;1784MC;DEN HELDER; 400;Den Helder;Noord-Holland;Sbo;Algemeen bijzonder;30742;27;0;0; ;0; ;0;
20160415;20160722;00KU;00;SBO de Windroos;6545LX;NIJMEGEN; 268;Nijmegen;Gelderland;Sbo;Protestants-Christelijk;29810;29;0;0; ;0; ;0;
20160415;20160722;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK; 867;Waalwijk;Noord-Brabant;Sbo;Rooms-Katholiek;71008;35;0;0; ;0; ;0;
20160415;20160722;00LS;00;SBO Het Palet;6006AH;WEERT; 988;Weert;Limburg;Sbo;Rooms-Katholiek;50819;28;0;0; ;0; ;0;
20160415;20160722;00MI;00;SSBO De Piramide;5531BX;BLADEL;1728;Bladel;Noord-Brabant;Sbo;Rooms-Katholiek;44201;42;0;0; ;0; ;0;
20160415;20160722;00MN;00;Chr SSBO De Burcht;2983AK;RIDDERKERK; 597;Ridderkerk;Zuid-Holland;Sbo;Protestants-Christelijk;80433;30;0;0; ;0; ;0;
20160415;20160722;00MS;00;SSBO Prof Waterink;7772CX;HARDENBERG; 160;Hardenberg;Overijssel;Sbo;Protestants-Christelijk;40946;25;0;0; ;0; ;0;
20160415;20160722;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN; 715;Terneuzen;Zeeland;Sbo;Algemeen bijzonder;40876;35;0;0; ;0; ;0;
20160415;20160722;00NY;00;SSBO De Veste;4691CK;THOLEN; 716;Tholen;Zeeland;Sbo;Algemeen bijzonder;40876;9;0;0; ;0; ;0;
20160415;20160722;00RU;00;SSBO De Wissel;1623MA;HOORN NH; 405;Hoorn;Noord-Holland;Sbo;Algemeen bijzonder;41470;55;0;0; ;0; ;0;
20160415;20160722;00RX;00;SBO Arcadia;6466HX;KERKRADE; 928;Kerkrade;Limburg;Sbo;Rooms-Katholiek;41516;22;0;0; ;0; ;0;
20160415;20160722;00SQ;00;SSBO Focus;5801AP;VENRAY; 984;Venray;Limburg;Sbo;Rooms-Katholiek;44397;23;0;4; ;0; ;0;
20160415;20160722;00TN;00;SSBO Op de Tump;6097AH;HEEL;1641;Maasgouw;Limburg;Sbo;Algemeen bijzonder;23961;19;0;0; ;0; ;12;163,833333333333
20160415;20160722;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT; 865;Vught;Noord-Brabant;Sbo;Algemeen bijzonder;41619;22;0;0; ;0; ;22;145,318181818182
20160415;20160722;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT; 642;Zwijndrecht;Zuid-Holland;Sbo;Algemeen bijzonder;41417;33;0;0; ;0; ;0;
20160415;20160722;00UI;00;SSBO St Michael;3814RV;AMERSFOORT; 307;Amersfoort;Utrecht;Sbo;Rooms-Katholiek;71488;30;0;14;513,5;0; ;0;
20160415;20160722;00UN;00;Tijstroom;1503TS;ZAANDAM; 479;Zaanstad;Noord-Holland;Sbo;Interconfessioneel;41251;16;0;11;521,454545454546;0; ;0;
20160415;20160722;00UY;00;SBO Beatrix de Burcht;4205NK;GORINCHEM; 512;Gorinchem;Zuid-Holland;Sbo;Protestants-Christelijk;41396;45;0;0; ;0; ;0;
20160415;20160722;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR; 777;Etten-Leur;Noord-Brabant;Sbo;Rooms-Katholiek;55303;23;0;0; ;0; ;0;
20160415;20160722;00VW;00;De Kameleon;3351ED;PAPENDRECHT; 590;Papendrecht;Zuid-Holland;Sbo;Algemeen bijzonder;41417;32;0;0; ;0; ;0;
20160415;20160722;00WK;00;SSBO De Wingerd;5431LZ;CUIJK;1684;Cuijk;Noord-Brabant;Sbo;Openbaar;41443;15;0;0; ;0; ;6;175,833333333333
20160415;20160722;00WO;00;SSBO;2566EA;'S-GRAVENHAGE; 518;'s-Gravenhage;Zuid-Holland;Sbo;Algemeen bijzonder;95694;10;0;0; ;0; ;0;
20160415;20160722;00YG;00;SSBO De Peelhorst;5961BA;HORST;1507;Horst aan de Maas;Limburg;Sbo;Rooms-Katholiek;47920;32;0;0; ;0; ;0;
