BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;1.4.1 - GEBRUIKSGOEDEREN;1.4.1.1 - VERKRIJGINGSPRIJS GEBRUIKSGOEDEREN;1.4.1T - GEBRUIKSGOEDEREN;1.4.2 - VOORUITBETAALD OP VOORRADEN;1.4T - VOORRADEN;1.5.1 - DEBITEUREN;1.5.2 - OCW/EZ;1.5.3 - GROEPSMAATSCHAPPIJEN;1.5.4 - ANDERE DEELNEMINGEN;1.5.5 - STUDENTEN/DEELNEMERS/CURSISTEN;1.5.6 - OVERIGE OVERHEDEN;1.5.7 - OVERIGE VORDERINGEN;1.5.7.1 - PERSONEEL;1.5.7.2 - OVERIGE;1.5.7T - OVERIGE VORDERINGEN;1.5.8 - OVERLOPENDE ACTIVA;1.5.8.1 - VOORUITBETAALDE KOSTEN;1.5.8.2 - VERSTREKTE VOORSCHOTTEN;1.5.8.3 - OVERIGE OVERLOPENDE ACTIVA;1.5.8T - OVERLOPENDE ACTIVA;1.5.9 - AF: VOORZIENINGEN WEGENS ONINBAARHEID;1.5.9.1 - STAND PER 1-1;1.5.9.2 - ONTTREKKING;1.5.9.3 - DOTATIE;1.5.9T - AF: VOORZIENINGEN WEGENS ONINBAARHEID;1.5T - VORDERINGEN
10249;PO6;Gem Emmen Sec L & Z Ondw;2011;;;;;;;1.434.875;;;;;392.980;;392.980;392.980;184.910;184.910;;;184.910;;;;;;2.012.765
10249;PO6;Gem Emmen Sec L & Z Ondw;2012;;;;;;;1.252.724;;;;;4.632;4.162;470;4.632;410.329;96.912;;313.417;410.329;;;;;;1.667.685
10249;PO6;Gem Emmen Sec L & Z Ondw;2013;;;;;;;1.381.975;;;;;9;;9;9;1.748.257;131.999;271.019;1.345.239;1.748.257;;;;;;3.130.241
10249;PO6;Gem Emmen Sec L & Z Ondw;2014;;;;;;;1.376.542;;;;;231.308;147;231.161;231.308;605.333;47.195;;558.138;605.333;;;;;;2.213.183
10249;PO6;Gem Emmen Sec L & Z Ondw;2015;;;;;;;1.446.297;;;;;211.231;5.751;205.480;211.231;438.417;86.407;;352.010;438.417;;;;;;2.095.945
10426;PO5;Gem Hoogez Sap Afd POI;2011;;;;;;103.963;621.315;;;;;951.652;;951.652;951.652;;;;;;;;;;;1.676.930
10426;PO5;Gem Hoogez Sap Afd POI;2012;;;;;;193.090;608.495;;;;;291.525;;291.525;291.525;;;;;;;;;;;1.093.110
10426;PO5;Gem Hoogez Sap Afd POI;2013;;;;;;58.331;579.794;;;;;695.149;;695.149;695.149;;;;;;;;;;;1.333.274
10426;PO5;Gem Hoogez Sap Afd POI;2014;;;;;;161.586;623.890;;;;;493.507;9.925;483.582;493.507;;;;;;;;;;;1.278.983
10426;PO5;Gem Hoogez Sap Afd POI;2015;;;;;;75.519;586.284;;;;805.334;593.919;8.410;585.509;593.919;;;;;;;;;;;2.061.056
10925;PO4;Gem Vlagtwedde;2011;;;;;;;173.175;;;;;155.716;2.779;152.937;155.716;;;;;;;;;;;328.891
10925;PO4;Gem Vlagtwedde;2012;;;;;;;175.833;;;;;186.342;4.141;182.201;186.342;;;;;;;;;;;362.175
10925;PO4;Gem Vlagtwedde;2013;;;;;;;194.197;;;;;144.000;1.901;142.099;144.000;;;;;;;;;;;338.197
10925;PO4;Gem Vlagtwedde;2014;;;;;;25.901;383.994;;;;;762.328;;762.328;762.328;;;;;;150.056;;-150.056;;150.056;1.022.167
10925;PO4;Gem Vlagtwedde;2015;;;;;;29.905;203.755;;;;;1.072.728;;1.072.728;1.072.728;;;;;;;;;;;1.306.388
11711;PO5;Gem Noordenveld;2011;;;;;;7.890;586.143;;;;;27.524;;27.524;27.524;45.058;;;45.058;45.058;;;;;;666.615
11711;PO5;Gem Noordenveld;2012;;;;;;11.135;587.567;;;;;7.278;;7.278;7.278;36.880;;;36.880;36.880;;;;;;642.860
11711;PO5;Gem Noordenveld;2013;;;;;;2.455;499.152;;;;;79.710;;79.710;79.710;24.253;;;24.253;24.253;;;;;;605.570
11711;PO5;Gem Noordenveld;2014;;;;;;56.734;616.869;;;;;163.730;-3.297;167.027;163.730;-70.433;30.016;-3.712;-96.737;-70.433;;;;;;766.900
11711;PO5;Gem Noordenveld;2015;;;;;;;566.583;;;;-28.324;116.401;;116.401;116.401;15.132;15.132;;;15.132;;;;;;669.792
11764;PO1;Gemeente Eijsden;2011;;;;;;1.595;19.388;;;;;;;;;457;;;457;457;;;;;;21.440
11764;PO1;Gemeente Eijsden;2012;;;;;;;20.280;;;;;;;;;1.228;709;;519;1.228;;;;;;21.508
11764;PO1;Gemeente Eijsden;2013;;;;;;1.391;19.143;;;;;;;;;1.620;893;;727;1.620;;;;;;22.154
11764;PO1;Gemeente Eijsden;2014;;;;;;;25.546;;;;;;;;;907;;;907;907;;;;;;26.453
