BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;3.1.1 - RIJKSBIJDRAGEN OCW/EZ;3.1.1.1 - RIJKSBIJDRAGE OCW;3.1.1.2 - RIJKSBIJDRAGE EZ;3.1.2 - OVERIGE SUBSIDIES OCW/EZ;3.1.2.1 - OVERIGE SUBSIDIES OCW/EZ;3.1.2.1.1 - OVERIGE SUBSIDIES OCW;3.1.2.1.2 - GEOORMERKTE SUBSIDIES;3.1.2.2 - OVERIGE SUBSIDIES EZ;3.1.2.2.1 - OVERIGE SUBSIDIES EZ;3.1.2.2.2 - NIET-GEOORMERKTE SUBSIDIES;3.1.2.3.1 - TOEREKENING INVESTERINGSSUBSIDIES;3.1.3 - AF: INKOMENSOVERDRACHTEN;3.1.3.2 - DOORBETALINGEN RIJKSBIJDRAGE SWV;3.1.3T - INKOMENSOVERDRACHTEN;3.1.4 - ONTVANGEN DOORBETALINGEN RIJKSBIJDRAGE SWV;3.1.4.1 - ONTVANGEN DOORBETALINGEN RIJKSBIJDRAGE SWV;3.1T - RIJKSBIJDRAGEN;3.2.1 - PARTICIPATIEBUDGET;3.2.1.1 - BIJDRAGE EDUCATIE;3.2.1.3 - REÏNTEGRATIE;3.2.1.4 - INBURGERING;3.2.1T - PARTICIPATIEBUDGET;3.2.2 - OVERIGE OVERHEIDSBIJDRAGEN EN -SUBSIDIES;3.2T - OVERIGE OVERHEIDSBIJDRAGEN EN -SUBSIDIES
10249;PO6;Gem Emmen Sec L & Z Ondw;2011;26.378.634;26.378.634;;2.385.402;2.385.402;55.117;;;2.330.285;;;;;;;;28.764.036;;;;;;3.182.128;3.182.128
10249;PO6;Gem Emmen Sec L & Z Ondw;2012;25.874.902;25.874.902;;2.539.578;2.539.578;;;;2.539.578;;;;;;;;28.414.480;;;;;;2.820.047;2.820.047
10249;PO6;Gem Emmen Sec L & Z Ondw;2013;25.773.326;25.773.326;;3.719.843;3.719.843;;;;3.719.843;;;;;;;;29.493.169;;;;;;2.431.793;2.431.793
10249;PO6;Gem Emmen Sec L & Z Ondw;2014;25.685.442;25.685.442;;2.772.478;2.772.478;2.772.478;;;;;;;;;919.088;919.088;29.377.008;;;;;;1.791.508;1.791.508
10249;PO6;Gem Emmen Sec L & Z Ondw;2015;27.161.277;27.161.277;;1.945.560;1.945.560;1.945.560;;;;;;;;;1.418.398;1.418.398;30.525.235;;;;;;2.138.374;2.138.374
10426;PO5;Gem Hoogez Sap Afd POI;2011;11.407.919;11.407.919;;171.501;171.501;15.466;;;156.035;;;;;;;;11.579.420;;;;;;794.369;794.369
10426;PO5;Gem Hoogez Sap Afd POI;2012;11.349.023;11.349.023;;336.014;336.014;;;;336.014;;;;;;;;11.685.037;;;;;;610.021;610.021
10426;PO5;Gem Hoogez Sap Afd POI;2013;11.499.846;11.499.846;;238.367;238.367;;;;238.367;;;;;;;;11.738.213;;;;;;667.084;667.084
10426;PO5;Gem Hoogez Sap Afd POI;2014;10.959.760;10.959.760;;4.647;4.647;4.647;;;;;;;;;472.354;;11.436.761;;;;;;1.132.284;1.132.284
10426;PO5;Gem Hoogez Sap Afd POI;2015;10.647.740;10.647.740;;213.027;213.027;213.027;;;;;;;;;529.526;529.526;11.390.293;;;;;;2.344.434;2.344.434
10925;PO4;Gem Vlagtwedde;2011;3.563.408;3.563.408;;40.639;40.639;8.193;;;32.446;;;;;;;;3.604.047;;;;;;753.152;753.152
10925;PO4;Gem Vlagtwedde;2012;3.699.452;3.699.452;;12.246;12.246;2.681;;;9.565;;;;;;;;3.711.698;;;;;;1.020.208;1.020.208
10925;PO4;Gem Vlagtwedde;2013;3.821.513;3.821.513;;16.887;16.887;;;;16.887;;;;;;;;3.838.400;;;;;;552.876;552.876
10925;PO4;Gem Vlagtwedde;2014;4.016.944;4.016.944;;;;;;;;;;;;;47.007;47.007;4.063.951;;;;;;170.652;170.652
10925;PO4;Gem Vlagtwedde;2015;3.904.696;3.904.696;;523.476;523.476;523.476;;;;;;;;;;;4.428.172;;;;;;111.974;111.974
11711;PO5;Gem Noordenveld;2011;11.318.542;11.318.542;;92.453;92.453;10.864;;;81.589;;;;;;;;11.410.995;179.837;179.837;;;179.837;824.342;1.004.179
11711;PO5;Gem Noordenveld;2012;11.244.186;11.244.186;;328.201;328.201;28.441;;;299.760;;;;;;;;11.572.387;;;;;;851.665;851.665
11711;PO5;Gem Noordenveld;2013;11.543.051;11.543.051;;353.263;353.263;;;;353.263;;;;;;;;11.896.314;;;;;;904.582;904.582
11711;PO5;Gem Noordenveld;2014;10.677.436;10.677.436;;563.432;563.432;563.432;;;;;;;;;156;;11.241.024;;;;;;83.721;83.721
11711;PO5;Gem Noordenveld;2015;10.713.939;10.713.939;;525.587;525.587;525.587;;;;;;;;;714.109;714.109;11.953.635;;;;;;261.697;261.697
11764;PO1;Gemeente Eijsden;2011;360.843;360.843;;;;;;;;;;;;;;;360.843;;;;;;;
11764;PO1;Gemeente Eijsden;2012;374.747;374.747;;;;;;;;;;;;;;;374.747;;;;;;;
11764;PO1;Gemeente Eijsden;2013;406.900;406.900;;;;;;;;;;;;;;;406.900;;;;;;;
11764;PO1;Gemeente Eijsden;2014;421.551;421.551;;;;;;;;;;;;;;;421.551;;;;;;;
11764;PO1;Gemeente Eijsden;2015;453.378;453.378;;7.015;7.015;7.015;;;;;;;;;5.008;5.008;465.401;;;;;;14.018;14.018
13308;PO1;Bestcom Gieterveen;2011;582.539;582.539;;2.086;2.086;2.086;;;;;;;;;;;584.625;6.889;6.889;;;6.889;281;7.170
13308;PO1;Bestcom Gieterveen;2012;597.223;597.223;;;;;;;;;;;;;;;597.223;;;;;;10.931;10.931
13308;PO1;Bestcom Gieterveen;2013;604.369;604.369;;;;;;;;;;;;;;;604.369;;;;;;;
13308;PO1;Bestcom Gieterveen;2014;581.400;581.400;;16.218;16.218;16.218;;;;;;;;;16.864;;614.482;;;;;;1.337;1.337
13308;PO1;Bestcom Gieterveen;2015;571.803;571.803;;11.015;11.015;11.015;;;;;;;;;35.603;35.603;618.421;;;;;;1.432;1.432
13622;PO6;Stg Opb PO Haarlemmerm;2011;22.340.960;22.340.960;;78.342;78.342;78.342;;;;;;;;;;;22.419.302;;;;;;34.072;34.072
13622;PO6;Stg Opb PO Haarlemmerm;2012;22.734.845;22.734.845;;90.951;90.951;90.951;;;;;;;;;;;22.825.796;;;;;;27.422;27.422
13622;PO6;Stg Opb PO Haarlemmerm;2013;23.586.750;23.586.750;;;;;;;;;;;;;;;23.586.750;;;;;;30.862;30.862
13622;PO6;Stg Opb PO Haarlemmerm;2014;22.328.022;22.328.022;;;;;;;;;;;;;860.614;;23.188.636;;;;;;;
13622;PO6;Stg Opb PO Haarlemmerm;2015;23.648.521;23.648.521;;;;;;;;;;;;;;;23.648.521;;;;;;14.652;14.652
13662;PO4;Stg Openb Ondw Present;2011;9.377.152;9.377.152;;416.105;416.105;21.866;;;394.239;;;;;;;;9.793.257;;;;;;14.573;14.573
13662;PO4;Stg Openb Ondw Present;2012;9.201.585;9.201.585;;628.545;628.545;2.250;;;626.295;;;;;;;;9.830.130;;;;;;6.660;6.660
13662;PO4;Stg Openb Ondw Present;2013;9.262.766;9.262.766;;612.548;612.548;;;;612.548;;;;;;;;9.875.314;;;;;;3.068;3.068
13662;PO4;Stg Openb Ondw Present;2014;8.691.524;8.691.524;;461.685;461.685;461.685;;;;;;;;;136.949;136.949;9.290.158;;;;;;225;225
13662;PO4;Stg Openb Ondw Present;2015;8.731.496;8.731.496;;193.347;193.347;193.347;;;;;;;;;342.244;342.244;9.267.087;;;;;;;
13674;PO5;Stichting Oog;2011;14.820.943;14.820.943;;56.107;56.107;56.107;;;;;;;;;;;14.877.050;153.518;153.518;;;153.518;17.744;171.262
13674;PO5;Stichting Oog;2012;14.541.000;14.541.000;;12.210;12.210;12.210;;;;;;;;;;;14.553.210;127.974;127.974;;;127.974;;127.974
13674;PO5;Stichting Oog;2013;14.752.715;14.752.715;;;;;;;;;;;;;;;14.752.715;;;;;;119.125;119.125
